dataset,section,item,value,details
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,time,125,role=metadata; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_1,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_1,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_1,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_1,10.95,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_1,27.22,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_2,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_2,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_2,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_2,10.38,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_2,39.28,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_3,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_3,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_3,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_3,71.9,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_3,182.1,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_4,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_4,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_4,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_4,361.6,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_4,2250.0,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_5,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_5,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_5,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_5,0.07497,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_5,0.1447,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_6,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_6,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_6,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_6,0.04605,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_6,0.3114,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_7,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_7,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_7,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_7,0.02398,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_7,0.4268,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_8,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_8,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_8,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_8,0.02031,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_8,0.2012,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_9,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_9,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_9,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_9,0.1308,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_9,0.304,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_10,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_10,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_10,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_10,0.05025,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_10,0.09744,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_11,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_11,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_11,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_11,0.1938,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_11,1.819,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_12,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_12,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_12,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_12,0.3621,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_12,3.503,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_13,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_13,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_13,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_13,1.153,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_13,13.28,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_14,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_14,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_14,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_14,13.99,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_14,316.0,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_15,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_15,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_15,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_15,0.002667,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_15,0.03113,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_16,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_16,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_16,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_16,0.007347,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_16,0.1354,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_17,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_17,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_17,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_17,0.01094,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_17,0.1438,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_18,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_18,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_18,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_18,0.005174,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_18,0.03927,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_19,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_19,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_19,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_19,0.007882,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_19,0.06041,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_20,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_20,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_20,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_20,0.001087,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_20,0.01256,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_21,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_21,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_21,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_21,12.84,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_21,35.13,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_22,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_22,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_22,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_22,16.67,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_22,49.54,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_23,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_23,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_23,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_23,85.1,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_23,232.2,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_24,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_24,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_24,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_24,508.1,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_24,3903.0,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_25,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_25,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_25,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_25,0.08191,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_25,0.2226,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_26,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_26,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_26,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_26,0.05131,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_26,1.058,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_27,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_27,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_27,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_27,0.02398,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_27,1.17,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_28,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_28,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_28,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_28,0.02899,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_28,0.2903,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_29,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_29,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_29,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_29,0.1565,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_29,0.6638,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_30,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_30,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_30,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_30,0.05504,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_30,0.2075,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_31,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_31,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_31,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_31,0.4,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_31,10.0,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),column_role,feature_32,feature,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,feature_32,float64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,feature_32,4,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_32,0.0,role=feature; minimum
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,feature_32,27.0,role=feature; maximum
Wisconsin Breast Cancer Prognostic (WPBC),class_distribution,N,151,target values
Wisconsin Breast Cancer Prognostic (WPBC),class_distribution,R,47,target values
Wisconsin Breast Cancer Prognostic (WPBC),raw_missing_marker,feature_32,4,"literal '?' found on 1-based raw rows: 7, 29, 86, 197"
Connectionist Bench Sonar,dataset,rows,208,
Connectionist Bench Sonar,dataset,columns,61,
Connectionist Bench Sonar,dataset,feature_count,60,
Connectionist Bench Sonar,dataset,target_column,target,
Connectionist Bench Sonar,dataset,metadata_columns,None,
Connectionist Bench Sonar,dataset,duplicate_rows,0,
Connectionist Bench Sonar,dataset,missing_values_total,0,
Connectionist Bench Sonar,column_role,feature_1,feature,
Connectionist Bench Sonar,data_type,feature_1,float64,
Connectionist Bench Sonar,missing_values,feature_1,0,
Connectionist Bench Sonar,numeric_range,feature_1,0.0015,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_1,0.1371,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_2,feature,
Connectionist Bench Sonar,data_type,feature_2,float64,
Connectionist Bench Sonar,missing_values,feature_2,0,
Connectionist Bench Sonar,numeric_range,feature_2,0.0006,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_2,0.2339,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_3,feature,
Connectionist Bench Sonar,data_type,feature_3,float64,
Connectionist Bench Sonar,missing_values,feature_3,0,
Connectionist Bench Sonar,numeric_range,feature_3,0.0015,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_3,0.3059,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_4,feature,
Connectionist Bench Sonar,data_type,feature_4,float64,
Connectionist Bench Sonar,missing_values,feature_4,0,
Connectionist Bench Sonar,numeric_range,feature_4,0.0058,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_4,0.4264,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_5,feature,
Connectionist Bench Sonar,data_type,feature_5,float64,
Connectionist Bench Sonar,missing_values,feature_5,0,
Connectionist Bench Sonar,numeric_range,feature_5,0.0067,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_5,0.401,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_6,feature,
Connectionist Bench Sonar,data_type,feature_6,float64,
Connectionist Bench Sonar,missing_values,feature_6,0,
Connectionist Bench Sonar,numeric_range,feature_6,0.0102,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_6,0.3823,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_7,feature,
Connectionist Bench Sonar,data_type,feature_7,float64,
Connectionist Bench Sonar,missing_values,feature_7,0,
Connectionist Bench Sonar,numeric_range,feature_7,0.0033,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_7,0.3729,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_8,feature,
Connectionist Bench Sonar,data_type,feature_8,float64,
Connectionist Bench Sonar,missing_values,feature_8,0,
Connectionist Bench Sonar,numeric_range,feature_8,0.0055,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_8,0.459,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_9,feature,
Connectionist Bench Sonar,data_type,feature_9,float64,
Connectionist Bench Sonar,missing_values,feature_9,0,
Connectionist Bench Sonar,numeric_range,feature_9,0.0075,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_9,0.6828,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_10,feature,
Connectionist Bench Sonar,data_type,feature_10,float64,
Connectionist Bench Sonar,missing_values,feature_10,0,
Connectionist Bench Sonar,numeric_range,feature_10,0.0113,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_10,0.7106,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_11,feature,
Connectionist Bench Sonar,data_type,feature_11,float64,
Connectionist Bench Sonar,missing_values,feature_11,0,
Connectionist Bench Sonar,numeric_range,feature_11,0.0289,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_11,0.7342,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_12,feature,
Connectionist Bench Sonar,data_type,feature_12,float64,
Connectionist Bench Sonar,missing_values,feature_12,0,
Connectionist Bench Sonar,numeric_range,feature_12,0.0236,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_12,0.706,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_13,feature,
Connectionist Bench Sonar,data_type,feature_13,float64,
Connectionist Bench Sonar,missing_values,feature_13,0,
Connectionist Bench Sonar,numeric_range,feature_13,0.0184,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_13,0.7131,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_14,feature,
Connectionist Bench Sonar,data_type,feature_14,float64,
Connectionist Bench Sonar,missing_values,feature_14,0,
Connectionist Bench Sonar,numeric_range,feature_14,0.0273,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_14,0.997,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_15,feature,
Connectionist Bench Sonar,data_type,feature_15,float64,
Connectionist Bench Sonar,missing_values,feature_15,0,
Connectionist Bench Sonar,numeric_range,feature_15,0.0031,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_15,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_16,feature,
Connectionist Bench Sonar,data_type,feature_16,float64,
Connectionist Bench Sonar,missing_values,feature_16,0,
Connectionist Bench Sonar,numeric_range,feature_16,0.0162,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_16,0.9988,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_17,feature,
Connectionist Bench Sonar,data_type,feature_17,float64,
Connectionist Bench Sonar,missing_values,feature_17,0,
Connectionist Bench Sonar,numeric_range,feature_17,0.0349,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_17,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_18,feature,
Connectionist Bench Sonar,data_type,feature_18,float64,
Connectionist Bench Sonar,missing_values,feature_18,0,
Connectionist Bench Sonar,numeric_range,feature_18,0.0375,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_18,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_19,feature,
Connectionist Bench Sonar,data_type,feature_19,float64,
Connectionist Bench Sonar,missing_values,feature_19,0,
Connectionist Bench Sonar,numeric_range,feature_19,0.0494,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_19,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_20,feature,
Connectionist Bench Sonar,data_type,feature_20,float64,
Connectionist Bench Sonar,missing_values,feature_20,0,
Connectionist Bench Sonar,numeric_range,feature_20,0.0656,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_20,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_21,feature,
Connectionist Bench Sonar,data_type,feature_21,float64,
Connectionist Bench Sonar,missing_values,feature_21,0,
Connectionist Bench Sonar,numeric_range,feature_21,0.0512,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_21,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_22,feature,
Connectionist Bench Sonar,data_type,feature_22,float64,
Connectionist Bench Sonar,missing_values,feature_22,0,
Connectionist Bench Sonar,numeric_range,feature_22,0.0219,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_22,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_23,feature,
Connectionist Bench Sonar,data_type,feature_23,float64,
Connectionist Bench Sonar,missing_values,feature_23,0,
Connectionist Bench Sonar,numeric_range,feature_23,0.0563,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_23,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_24,feature,
Connectionist Bench Sonar,data_type,feature_24,float64,
Connectionist Bench Sonar,missing_values,feature_24,0,
Connectionist Bench Sonar,numeric_range,feature_24,0.0239,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_24,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_25,feature,
Connectionist Bench Sonar,data_type,feature_25,float64,
Connectionist Bench Sonar,missing_values,feature_25,0,
Connectionist Bench Sonar,numeric_range,feature_25,0.024,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_25,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_26,feature,
Connectionist Bench Sonar,data_type,feature_26,float64,
Connectionist Bench Sonar,missing_values,feature_26,0,
Connectionist Bench Sonar,numeric_range,feature_26,0.0921,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_26,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_27,feature,
Connectionist Bench Sonar,data_type,feature_27,float64,
Connectionist Bench Sonar,missing_values,feature_27,0,
Connectionist Bench Sonar,numeric_range,feature_27,0.0481,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_27,1.0,role=feature; maximum
